source,target,relation,weight,mentions,evidence,seed_edge,feature_importance,rank,source_feature,cohort,age_band,density_bin
HMGCR,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8,item_drug_SIMVASTATIN,ed,65-74,all
HMGCR,SLCO1B1,co_metabolizes,1.0,,,False,,,,,,
HMGCR,LPA,co_metabolizes,1.0,,,False,,,,,,
LPA,lipoprotein,metabolizes,0.1,1,,False,,,,,,
LPA,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8,item_drug_SIMVASTATIN,ed,65-74,all
LPA,SLCO1B1,co_metabolizes,1.0,,,False,,,,,,
NEDD4L,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 16; combined importance 0.0135,True,0.0134934340370799,16,item_drug_HYDROCHLOROTHIAZIDE,ed,65-74,all
NEDD4L,PRKCA,co_metabolizes,1.0,,,False,,,,,,
NEDD4L,YEATS4,co_metabolizes,1.0,,,False,,,,,,
PRKCA,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 16; combined importance 0.0135,True,0.0134934340370799,16,item_drug_HYDROCHLOROTHIAZIDE,ed,65-74,all
PRKCA,YEATS4,co_metabolizes,1.0,,,False,,,,,,
PTGFR,LATANOPROST,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 18; combined importance 0.0112,True,0.0112290876601472,18,item_drug_LATANOPROST,ed,65-74,all
SLCO1B1,rosuvastatin,metabolizes,0.1,1,,False,,,,,,
SLCO1B1,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8,item_drug_SIMVASTATIN,ed,65-74,all
YEATS4,HYDROCHLOROTHIAZIDE,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 16; combined importance 0.0135,True,0.0134934340370799,16,item_drug_HYDROCHLOROTHIAZIDE,ed,65-74,all
